for_date,for_month,for_year,for_day,for_day_reverse,days_in_month,week_in_month,days_week_in_month,week_in_year,days_week_in_year,day_in_week,fiscal_year_1,fiscal_year_2,quarter,fiscal_month,for_month_2,month_year,full_month
01-06-2019,6,2019,1,30,30,1,9,22,7,SUMMER,2019-20,1,1,3,Jun,Jun-19,June
02-06-2019,6,2019,2,29,30,1,9,23,7,SUMMER,2019-20,1,1,3,Jun,Jun-19,June
03-06-2019,6,2019,3,28,30,1,9,23,7,SUMMER,2019-20,1,1,3,Jun,Jun-19,June
04-06-2019,6,2019,4,27,30,1,9,23,7,SUMMER,2019-20,1,1,3,Jun,Jun-19,June
05-06-2019,6,2019,5,26,30,1,9,23,7,SUMMER,2019-20,1,1,3,Jun,Jun-19,June
06-06-2019,6,2019,6,25,30,1,9,23,7,SUMMER,2019-20,1,1,3,Jun,Jun-19,June
07-06-2019,6,2019,7,24,30,1,9,23,7,SUMMER,2019-20,1,1,3,Jun,Jun-19,June
08-06-2019,6,2019,8,23,30,1,9,23,7,SUMMER,2019-20,1,1,3,Jun,Jun-19,June
09-06-2019,6,2019,9,22,30,1,9,24,7,SUMMER,2019-20,1,1,3,Jun,Jun-19,June
10-06-2019,6,2019,10,21,30,2,7,24,7,SUMMER,2019-20,2,1,3,Jun,Jun-19,June
11-06-2019,6,2019,11,20,30,2,7,24,7,SUMMER,2019-20,2,1,3,Jun,Jun-19,June
12-06-2019,6,2019,12,19,30,2,7,24,7,SUMMER,2019-20,2,1,3,Jun,Jun-19,June
13-06-2019,6,2019,13,18,30,2,7,24,7,SUMMER,2019-20,2,1,3,Jun,Jun-19,June
14-06-2019,6,2019,14,17,30,2,7,24,7,SUMMER,2019-20,2,1,3,Jun,Jun-19,June
15-06-2019,6,2019,15,16,30,2,7,24,7,SUMMER,2019-20,2,1,3,Jun,Jun-19,June
16-06-2019,6,2019,16,15,30,2,7,25,7,SUMMER,2019-20,2,1,3,Jun,Jun-19,June
17-06-2019,6,2019,17,14,30,3,7,25,7,SUMMER,2019-20,3,1,3,Jun,Jun-19,June
18-06-2019,6,2019,18,13,30,3,7,25,7,SUMMER,2019-20,3,1,3,Jun,Jun-19,June
19-06-2019,6,2019,19,12,30,3,7,25,7,SUMMER,2019-20,3,1,3,Jun,Jun-19,June
20-06-2019,6,2019,20,11,30,3,7,25,7,SUMMER,2019-20,3,1,3,Jun,Jun-19,June
21-06-2019,6,2019,21,10,30,3,7,25,7,SUMMER,2019-20,3,1,3,Jun,Jun-19,June
22-06-2019,6,2019,22,9,30,3,7,25,7,SUMMER,2019-20,3,1,3,Jun,Jun-19,June
23-06-2019,6,2019,23,8,30,3,7,26,7,SUMMER,2019-20,3,1,3,Jun,Jun-19,June
24-06-2019,6,2019,24,7,30,4,7,26,7,SUMMER,2019-20,4,1,3,Jun,Jun-19,June
25-06-2019,6,2019,25,6,30,4,7,26,7,SUMMER,2019-20,4,1,3,Jun,Jun-19,June
26-06-2019,6,2019,26,5,30,4,7,26,7,SUMMER,2019-20,4,1,3,Jun,Jun-19,June
27-06-2019,6,2019,27,4,30,4,7,26,7,SUMMER,2019-20,4,1,3,Jun,Jun-19,June
28-06-2019,6,2019,28,3,30,4,7,26,7,SUMMER,2019-20,4,1,3,Jun,Jun-19,June
29-06-2019,6,2019,29,2,30,4,7,26,7,SUMMER,2019-20,4,1,3,Jun,Jun-19,June
30-06-2019,6,2019,30,1,30,4,7,27,7,SUMMER,2019-20,4,1,3,Jun,Jun-19,June
